product_id,name,description,category,brand,price
93510,Đồng hồ thông minh Amazfit T-Rex 3 - Đã Kích Hoạt,,Hàng cũ,,6490000.0
82054,Máy chiếu di động Wanbo Dali,,Nhà thông minh,,3290000.0
82225,realme C60 4GB 64GB - Cũ Đẹp,,Hàng cũ,Realme,2790000.0
109465,Apple Watch Ultra 2 2024 49mm 4G Viền Titan Dây Titan Size S - Cũ Đẹp,,Hàng cũ,,25990000.0
112827,Ốp lưng kèm dây đeo iPhone 17 Pro Max UAG chống sốc Pathfinder Clear With Magsafe,,Phụ kiện,,1700000.0
111827,MacBook Air M4 15 inch 2025 10CPU 10GPU 16GB 512GB - Cũ Đẹp,,Hàng cũ,Apple,36990000.0
92471,Ốp lưng iPhone 16 Pro Max Switcheasy PP,,Phụ kiện,,350000
96420,Túi đựng laptop Sakos Flexi 15.6 inch SVC001N,,Phụ kiện,,1250000.0
103007,OPPO Reno13 F 5G 12GB 256GB - Cũ Đẹp,,Hàng cũ,OPPO,10990000.0
106979,Robot hút bụi lau sàn Dreame Aqua 10 Pro Track,,Nhà thông minh,,39990000.0
103593,Smart Tivi Samsung HD 32 inch 2025 (32H5000F),,Tivi,Samsung,6400000.0
79369,Samsung Galaxy Z Flip5 5G 256GB - Cũ Trầy Xước,,Hàng cũ,Samsung,7290000.0
57691,Máy lọc không khí Xiaomi Mi Air Purifier Elite,,Nhà thông minh,,9990000.0
103467,Samsung Galaxy M55 5G 8GB 256GB - Cũ Đẹp,,Hàng cũ,Samsung,10010000.0
84650,Đồng hồ thông minh Garmin Forerunner 965 - Đã Kích Hoạt,,Hàng cũ,,16490000.0
107406,Nồi cơm điện tử Toshiba RC-18DH2PV(W),,Đồ gia dụng,,1920000.0
84498,Đèn bàn LED Hyperwork Luna - HPW DL01,,Phụ kiện,,1390000.0
112801,Ốp lưng iPhone 17 Pro Max UAG chống sốc Plyo Ice,,Phụ kiện,,1100000.0
100996,MacBook Pro 14 M4 10CPU 10GPU 24GB 512GB - Chính hãng Đã kích hoạt,,Hàng cũ,Apple,44990000.0
110726,Pin dự phòng Cuktech P+Series 2C1A 15000mAh 100W có màn hình No.10 Plus PB150P,,Phụ kiện,,1400000.0
61113,Xiaomi 12T 8GB 128GB - Cũ Trầy Xước,,Hàng cũ,Xiaomi,8990000.0
111126,Chuột không dây Bluetooth Ugreen M556,,Phụ kiện,,450000
113382,Bàn phím + Bao da AI Samsung Galaxy Tab S11 Ultra chính hãng,,Phụ kiện,,5490000.0
112235,Sạc Cuktech GaN 2C1A 65W (CN) AD653C,,Phụ kiện,,501000
99950,Samsung Galaxy Z Flip5 5G 512GB (F731) - Cũ Trầy Xước,,Hàng cũ,Samsung,8290000.0
66658,Thẻ nhớ SDHC SanDisk 64Gb Class 10 100MB/s,,Phụ kiện,,259000
77747,Xiaomi Redmi Note 13 Pro 5G 8GB 256GB - Cũ Đẹp,,Hàng cũ,Xiaomi,7850000.0
72261,Máy hút bụi đệm giường Deerma CM800,,Nhà thông minh,,1200000.0
54176,Apple MacBook Air M1 512GB 2020 - Cũ Xước Cấn,,Hàng cũ,Apple,34990000.0
34814,iPhone SE 2020 256GB Cũ đẹp,,Hàng cũ,Apple,17990000.0
98443,Đồng hồ thông minh trẻ em Mykid 4G Lite V2 - Đã Kích Hoạt,,Hàng cũ,,1490000.0
96604,Nồi lẩu hai ngăn Bear DHG-D65A1 6.5L,,Đồ gia dụng,,2190000.0
71447,Sim Vinaphone YOLO125V 7GB/Ngày - Gói cước 12 tháng,,Sim 4G,,1500000.0
29974,Samsung Galaxy Note 20 Ultra 5G - Cũ Xước Cấn,,Hàng cũ,Samsung,32990000.0
71240,Đồng hồ thông minh Garmin Forerunner 45 - Cũ Trầy Xước,,Hàng cũ,,5090000.0
94636,iPad Air 6 M2 11 inch Wifi 256GB - Cũ Đẹp,,Hàng cũ,Apple,19490000.0
95774,Tai nghe Bluetooth Nothing Ear ,,Âm thanh,,6200000.0
106089,Samsung Galaxy A06 5G 4GB 128GB - Cũ Đẹp,,Hàng cũ,Samsung,3920000.0
107723,Quạt cầm tay cao cấp Jisulife Pro1 S (Fa53 Pro) 5000mAh,,Phụ kiện,,1415000.0
59888,Mainboard Asus TUF Gaming B760M-PLUS Wifi D4,,Linh kiện máy tính,,4990000.0
59888,Mainboard Asus TUF Gaming B760M-PLUS Wifi D4,,Linh kiện máy tính,,4990000.0
